task,test/test_acc,test/test_acc_task_0,test/test_acc_task_1,test/test_acc_task_2,test/test_acc_task_3,test/test_acc_task_4,experiment
0,0.9697802066802979,0.9697802066802979,,,,,vcl
1,0.9746998846530914,0.9697802066802979,0.979619562625885,,,,vcl
2,0.9696405132611593,0.9656593203544617,0.9714673757553101,0.971794843673706,,,vcl
3,0.9653523713350296,0.9642857313156128,0.967391312122345,0.971794843673706,0.9579375982284546,,vcl
4,0.9652020812034607,0.9656593203544617,0.9619565010070801,0.9769230484962463,0.9647218585014343,0.956749677658081,vcl
0,0.9697408477465311,0.9697408477465311,,,,,si
1,0.9665311574935913,0.9690866271654764,0.9639756878217062,,,,si
2,0.966177072789934,0.9661585291226705,0.9607928196589152,0.9715798695882162,,,si
3,0.9628386348485947,0.9658345977465311,0.9593460559844971,0.9565393527348837,0.9696345329284668,,si
4,0.9460870295763015,0.9655043284098307,0.9320023059844971,0.9524537126223246,0.9609869519869486,0.9194878488779068,si
